Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size
2025-10-25 13:33:50,13.107.42.14,192.168.1.101,ICMP,25730,80,1206
2025-10-25 13:33:49,151.101.1.140,8.8.8.8,ICMP,18540,443,487
2025-10-25 13:33:37,192.168.1.102,172.217.164.46,ICMP,17992,443,1158
2025-10-25 13:33:35,1.1.1.1,192.168.1.102,UDP,17915,3389,862
2025-10-25 13:33:28,151.101.1.140,192.168.1.100,ICMP,37985,3389,1079
2025-10-25 13:33:25,192.168.1.102,142.250.185.206,TCP,40780,443,1159
2025-10-25 13:33:24,192.168.1.102,192.168.1.100,UDP,44752,80,128
2025-10-25 13:33:24,13.107.42.14,142.250.185.206,TCP,56101,8080,749
2025-10-25 13:33:22,192.168.1.100,104.244.42.129,UDP,11191,22,336
2025-10-25 13:33:20,151.101.1.140,172.217.164.46,UDP,29101,3389,1315
2025-10-25 13:33:20,1.1.1.1,151.101.1.140,ICMP,46775,80,1067
2025-10-25 13:33:20,192.168.1.102,1.1.1.1,UDP,46185,3389,351
2025-10-25 13:33:19,104.244.42.129,142.250.185.206,ICMP,63192,22,426
2025-10-25 13:33:16,104.244.42.129,8.8.8.8,UDP,28124,22,599
2025-10-25 13:33:13,13.107.42.14,104.244.42.129,ICMP,40648,53,1139
2025-10-25 13:33:10,13.107.42.14,192.168.1.101,TCP,49242,443,365
2025-10-25 13:33:06,172.217.164.46,8.8.8.8,UDP,41968,53,1347
2025-10-25 13:33:03,8.8.8.8,172.217.164.46,TCP,37169,8080,1004
2025-10-25 13:33:01,192.168.1.101,13.107.42.14,TCP,27307,3389,533
2025-10-25 13:32:55,192.168.1.101,151.101.1.140,UDP,5280,443,838
2025-10-25 13:32:53,151.101.1.140,172.217.164.46,ICMP,17273,8080,998
2025-10-25 13:32:50,151.101.1.140,1.1.1.1,TCP,15151,8080,1457
2025-10-25 13:32:47,192.168.1.102,172.217.164.46,UDP,65463,8080,324
2025-10-25 13:32:40,172.217.164.46,192.168.1.101,TCP,19845,3389,470
2025-10-25 13:32:37,1.1.1.1,192.168.1.101,TCP,23867,8080,1283
2025-10-25 13:32:35,192.168.1.100,172.217.164.46,UDP,38052,53,769
2025-10-25 13:32:28,104.244.42.129,151.101.1.140,UDP,34609,8080,697
2025-10-25 13:32:25,8.8.8.8,104.244.42.129,ICMP,24966,443,1001
2025-10-25 13:32:21,192.168.1.102,142.250.185.206,TCP,26397,22,1102
2025-10-25 13:32:19,151.101.1.140,1.1.1.1,TCP,16933,80,1402
