timestamp,src_ip,dst_ip,protocol,length
2025-10-24 17:28:17.505497,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:28:17.621512,192.168.29.181,224.0.0.22,2,54
2025-10-24 17:28:18.107342,192.168.29.181,4.213.25.242,6,153
2025-10-24 17:28:18.139071,4.213.25.242,192.168.29.181,6,223
2025-10-24 17:28:18.203185,192.168.29.181,4.213.25.242,6,54
2025-10-24 17:28:19.107146,192.168.29.181,104.208.16.92,6,171
2025-10-24 17:28:19.111030,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:19.116092,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:19.116092,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:19.123581,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:19.125794,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:19.129053,192.168.29.181,104.208.16.92,6,1316
2025-10-24 17:28:19.630238,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:28:19.630238,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:28:19.630238,104.208.16.92,192.168.29.181,6,148
2025-10-24 17:28:19.675609,192.168.29.181,104.208.16.92,6,54
2025-10-24 17:28:19.826880,104.208.16.92,192.168.29.181,6,148
2025-10-24 17:28:19.826880,192.168.29.181,104.208.16.92,6,66
2025-10-24 17:28:21.254461,192.168.29.181,104.208.16.92,6,173
2025-10-24 17:28:21.255749,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:21.258581,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:21.260981,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:21.263391,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:21.263391,192.168.29.181,104.208.16.92,6,639
2025-10-24 17:28:21.577009,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:28:21.578845,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:28:21.578845,104.208.16.92,192.168.29.181,6,153
2025-10-24 17:28:21.618336,192.168.29.181,104.208.16.92,6,54
2025-10-24 17:28:23.359031,192.168.29.181,104.208.16.92,6,176
2025-10-24 17:28:23.363249,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:23.366702,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:23.366702,192.168.29.181,104.208.16.92,6,1414
2025-10-24 17:28:23.622080,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:28:23.622080,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:28:23.651112,104.208.16.92,192.168.29.181,6,148
2025-10-24 17:28:23.656266,192.168.29.181,104.208.16.92,6,89
2025-10-24 17:28:24.018981,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:28:25.520095,192.168.29.181,104.208.16.92,6,171
2025-10-24 17:28:25.522533,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:25.522533,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:25.522533,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:25.528425,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:25.528425,192.168.29.181,104.208.16.92,6,639
2025-10-24 17:28:25.875614,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:28:25.878926,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:28:25.881406,104.208.16.92,192.168.29.181,6,148
2025-10-24 17:28:25.924822,192.168.29.181,104.208.16.92,6,54
2025-10-24 17:28:26.157534,104.208.16.92,192.168.29.181,6,148
2025-10-24 17:28:26.170665,192.168.29.181,104.208.16.92,6,66
2025-10-24 17:28:27.765485,192.168.29.181,104.208.16.92,6,196
2025-10-24 17:28:27.767615,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:27.769466,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:27.769466,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:27.769466,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:27.769466,192.168.29.181,104.208.16.92,6,639
2025-10-24 17:28:28.129655,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:28:28.131467,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:28:28.133479,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:28:28.133479,104.208.16.92,192.168.29.181,6,149
2025-10-24 17:28:28.181516,192.168.29.181,104.208.16.92,6,54
2025-10-24 17:28:28.418949,104.208.16.92,192.168.29.181,6,149
2025-10-24 17:28:28.420735,192.168.29.181,104.208.16.92,6,66
2025-10-24 17:28:29.895652,192.168.29.181,104.208.16.92,6,509
2025-10-24 17:28:29.895652,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:29.895652,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:29.895652,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:29.895652,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:29.901579,192.168.29.181,104.208.16.92,6,639
2025-10-24 17:28:30.159753,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:28:30.162227,104.208.16.92,192.168.29.181,6,148
2025-10-24 17:28:30.162227,192.168.29.181,104.208.16.92,6,89
2025-10-24 17:28:30.484272,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:28:30.791806,192.168.29.39,224.0.0.251,17,103
2025-10-24 17:28:32.010840,192.168.29.181,104.208.16.92,6,171
2025-10-24 17:28:32.012623,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:32.014533,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:32.014533,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:32.016824,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:32.016824,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:32.018930,192.168.29.181,104.208.16.92,6,1304
2025-10-24 17:28:32.318047,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:28:32.328585,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:28:32.328585,104.208.16.92,192.168.29.181,6,148
2025-10-24 17:28:32.371769,192.168.29.181,104.208.16.92,6,54
2025-10-24 17:28:34.146137,192.168.29.181,104.208.16.92,6,166
2025-10-24 17:28:34.146137,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:34.146137,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:28:34.146137,192.168.29.181,104.208.16.92,6,1414
2025-10-24 17:28:34.466915,104.208.16.92,192.168.29.181,6,54
2025-10-24 17:28:34.684896,104.208.16.92,192.168.29.181,6,153
2025-10-24 17:28:34.726921,192.168.29.181,104.208.16.92,6,54
2025-10-24 17:28:35.702322,192.168.29.1,224.0.0.1,2,50
2025-10-24 17:28:35.707916,192.168.29.1,224.0.0.1,2,50
2025-10-24 17:28:35.707916,192.168.29.1,224.0.0.1,2,50
2025-10-24 17:28:35.907318,192.168.29.50,192.168.29.255,17,82
2025-10-24 17:28:36.272756,192.168.29.181,104.208.16.92,6,172
2025-10-24 17:28:36.272756,192.168.29.181,104.208.16.92,6,1494
